,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Ctenophorus_caudicinctus,5,2,0.906648567,0.225188463,-0.652797727,-0.257466284,0.204661764,-1.576909984,-1.268655758,-0.134302233,-0.538585577,2.436771543,-0.146565588,-0.194278984,-0.16985495,0.30917941,0.420232971,0.628322814,0.029907099,-0.221495544,2.754795454,Ctenophorus_caudicinctus,Ctenophorus_caudicinctus
Ctenophorus_decresii,5,2,1.02904624,0.479400061,-0.482400447,-0.433242568,0.229329888,-1.416876872,-1.258721381,-0.33494475,-0.526384233,2.367482989,-0.254779989,-0.254779989,-0.059556279,0.249344852,0.347834685,0.576574221,-0.056428645,-0.200897781,2.686637417,Ctenophorus_decresii,Ctenophorus_decresii
Ctenophorus_fionni,5,2,0.948297763,0.431845366,-0.529021156,-0.422326174,0.288128091,-1.356090007,-1.240854743,-0.223367999,-0.458431179,2.265703154,-0.285628768,-0.27544996,-0.121030156,0.296936369,0.383681965,0.597523124,-0.044517696,-0.255397994,2.637718055,Ctenophorus_fionni,Ctenophorus_fionni
Ctenophorus_gibba,2,2,1.02303908,0.421181991,-0.527416984,-0.270521146,0.277274909,-1.602064992,-1.268328736,-0.039615589,-0.452842703,2.077205603,-0.063377936,-0.221937146,-0.224690073,0.288063395,0.346962852,0.514914469,0.06522933,-0.343076323,2.89952814,Ctenophorus_gibba,Ctenophorus_gibba
Ctenophorus_mirrityana,5,2,0.900477996,0.383413343,-0.560883265,-0.428567514,0.256505531,-1.317561555,-1.129312072,-0.262660292,-0.524824215,2.326905366,-0.213784262,-0.286381627,-0.127552302,0.282859997,0.344549597,0.586724864,0.103089758,-0.332999347,2.786587314,Ctenophorus_mirrityana,Ctenophorus_mirrityana
Ctenophorus_ornatus,5,2,1.015079035,0.42148925,-0.545168633,-0.611919123,0.180030771,-1.486044841,-1.225822749,-0.511733857,-0.309757777,2.314580265,-0.144476804,-0.246334689,-0.071422018,0.323611116,0.410232916,0.656859424,0.190079723,-0.35928201,2.714222334,Ctenophorus_ornatus,Ctenophorus_ornatus
Ctenophorus_salinarum,4,2,1.019761062,0.358358188,-0.608545334,-0.386333115,0.244108725,-1.366398135,-1.233535415,-0.120754193,-0.485089594,2.22506809,-0.18381363,-0.197249306,-0.118119724,0.177533129,0.306527327,0.503109586,0.066902269,-0.201529931,2.551952353,Ctenophorus_salinarum,Ctenophorus_salinarum
Ctenophorus_slateri,5,2,0.938229549,0.359482609,-0.659401412,-0.313108269,0.268375778,-1.563178347,-1.349319063,-0.06017905,-0.4676131,2.380842897,-0.184614877,-0.191103256,-0.146406239,0.337045771,0.436434383,0.644951876,-0.149176708,-0.281262541,2.817654134,Ctenophorus_slateri,Ctenophorus_slateri
Ctenophorus_vadnappa,5,2,0.92678772,0.357647025,-0.626800557,-0.354911388,0.238902324,-1.428883219,-1.1710225,-0.201677532,-0.626177116,2.371423153,-0.19700035,-0.266080174,-0.075998947,0.289303066,0.411511867,0.707330323,-0.066516811,-0.287836884,2.70842721,Ctenophorus_vadnappa,Ctenophorus_vadnappa
Ctenophorus_yinnietharra,5,2,1.039761147,0.501806132,-0.604069508,-0.510067445,0.170594152,-1.467271076,-1.371831772,-0.383205365,-0.29607389,2.327323944,-0.153501588,-0.257420692,-0.156177942,0.334616851,0.423900857,0.645092016,0.136611662,-0.380087483,2.725732066,Ctenophorus_yinnietharra,Ctenophorus_yinnietharra
