"Genus_species","Snout_Vent","Interlimb","Snout_Axilla","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Head_Length","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Diporiphora_granulifera",58.726,29.74,25.626,11.76,5.01,7.35,11.754,3.026,3.508,9.228,14.452,5.536,156.2,9.046,8.534,10.322,12.616,13.526,20.318,11.174,7.918
"Diporiphora_jugularis",68.1825,34.5825,29.4425,12.3325,6.3325,9.2,13.3025,3.7675,4.1375,10.7275,16.635,6.1,168,11.0525,10.5475,11.2775,15.74,16.7125,23.61,12.8075,8.73
"Diporiphora_lalliae",69.9075,34.5025,30.89,13.755,6.105,8.535,13.1,3.4075,3.845,10.2025,16.7925,6.7925,188,9.5175,9.8,11.2725,14.6425,15.5775,21.585,14.0975,9.54
"Diporiphora_linga",45.66,21.2066666666667,20.7266666666667,9.65333333333333,4.93333333333333,6.28666666666667,9.79,2.61333333333333,2.88666666666667,7.03666666666667,11.5166666666667,5.49666666666667,103.333333333333,7.34,7.16666666666667,7.81666666666667,10.3033333333333,11.6666666666667,16.33,9.21,6.01666666666667
"Diporiphora_magna",66.445,32.4575,30.2325,14.0675,5.9975,8.32,13.1925,3.9275,3.88,9.7875,16.3925,6.725,166.5,9.99,9.8375,11.915,14.0975,15.29,20.9325,13.84,8.585
"Diporiphora_margaretae",58.8275,30.8075,25.3475,14.7575,6.2025,7.7375,12.3325,3.0975,3.715,10.055,15.0775,6.2425,138.25,9.02,8.9,9.9325,12.815,13.9325,20.1675,10.27,8.265
"Diporiphora_nobbi",82.076,43.204,34.728,21.99,9.136,11.394,17.402,4.638,5.194,12.656,20.66,7.812,191.6,12,12.65,14.33,19.576,19.864,28.29,14.068,10.828
"Diporiphora_pallida",45.74,23.72,18.94,10.04,4.92,6.46,10.56,2.14,3.54,8.34,12.09,4.34,92,6.9,7.22,7.84,9.59,10.14,14.53,6.85,6.41
"Diporiphora_paraconvergens",54.8925,28.455,23.2975,9.2375,5.1725,6.635,9.3,2.28,2.84,7.8525,12.635,5.735,161,8.145,7.6025,8.68,10.965,12.1925,17.445,10.6625,7.515
"Diporiphora_perplexa",66.715,31.5325,30.17,10.9275,5.8125,8.36,13.225,3.6125,3.9575,9.7375,17.9325,6.98,159.25,10.4225,10.325,9.4475,15.2175,16.0425,22.655,12.2375,10.3625
"Diporiphora_phaeospinosa",69.035,32.115,32.01,16.65,7.74,9.775,15.425,3.915,4.625,10.94,18.525,7.2,177,9.995,10.165,11.8,17.385,17.6,25.455,13.485,9.985
