"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus fionni",34.04,17.55,9.32,9.55,18.46,4.14,4.42,11.43,9.33,150,11.33,11.37,12.69,21.05,23.28,29.4,14.93,11.36
"Ctenophorus fionni",35.23,20.78,7.21,7.95,16.21,3.28,3.81,10.61,6.68,117,9.6,10.02,11.3,17.35,18.36,22.72,12.67,9.35
"Ctenophorus fionni",33.83,22.38,7.2,8.78,16.98,3.76,3.91,10.56,8.7,125,11.22,10.11,12.37,17.17,18.48,22.58,12.8,9.44
"Ctenophorus fordi",23.86,9.49,5.56,6.58,9.9,2.21,2.85,6.7,6.13,105,8.21,6.8,7.58,11.53,14.61,19.83,8.37,5.81
"Ctenophorus fordi",25.4,11.26,5.97,6.04,10.2,2.25,3.31,6.83,5.48,118,7.75,7.76,8.56,13.26,15.68,21.23,9.11,5.26
"Ctenophorus fordi",26.43,13.02,6.95,6.28,10.53,2.13,2.98,6.95,6.11,116,7.34,7.18,8.74,12.43,14.31,21.94,8.17,6.17
"Ctenophorus fordi",26.02,9.03,4.44,5.67,10.19,1.74,3.09,6.71,5.61,122,8.25,7.21,9.68,12.73,15.95,21.91,9.71,6.75
"Ctenophorus gibba",50.53,27.68,10.72,13.86,23.97,3.66,5.11,17.46,11.55,145,17.05,14.55,14.51,24.23,25.7,30.4,19.39,12.89
"Ctenophorus graafi",34.37,16.7,7.05,10.49,15.92,3.18,3.83,11.06,8.19,168,12.77,12.16,12.26,20.27,21.17,28.43,16.88,9.69
"Ctenophorus graafi",35.3,17.23,8.23,9.35,14.77,2.27,3.73,10.63,8.66,156,12.27,11.19,12.2,19.4,21.9,29.02,13.51,9.56
"Ctenophorus graafi",35.52,16.09,7.95,8.54,14.02,2.04,4.18,10.28,6.85,143,11.83,11.49,12.33,17.17,19.67,24.97,15.05,9.08
"Ctenophorus graafi",35.05,17.31,7.67,8.98,15.46,1.91,4.68,9.87,7.85,153,10.8,11.44,12.75,19.39,21.43,29.19,11.5,9.75
"Ctenophorus griseus",31.79,13.99,7.48,7.73,12.13,3.21,3.27,8.57,6.58,144,10.58,8.37,10.16,15.32,17.36,24.05,11.98,6.95
"Ctenophorus griseus",31.02,15.06,7.13,8.38,12.28,3.05,3.3,8.86,7.65,140,10.2,8.63,9.9,15.87,16.75,22.6,11.36,7.81
"Ctenophorus griseus",27.51,12.6,6.15,8.94,12.99,2.81,3.47,9.77,7.35,155,9.94,9.7,10.72,16.16,18.2,24.19,12.87,7.71
"Ctenophorus griseus",36.28,15.77,6.25,8.83,12.76,2.61,3.44,9.85,8.36,153,10.83,9.29,10.85,16.17,18.3,24.37,14.13,8.6
"Ctenophorus infans",29.11,18.26,9.18,11.14,17.87,3.19,4.38,12.65,8.99,146,11.4,9.93,13.16,19.38,21.85,27.46,15.75,10.98
"Ctenophorus infans",33.28,17.91,6.15,9.92,14.81,2.55,3.77,10.39,7.75,130,11.03,9.46,11.44,17.74,21.59,26.53,15.08,9.43
