lineage,AHE,gene,uce,total_loci,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
Agamidae_Tympanocryptis_macra_NMVD72689,364,34,4717,5115,Agamidae_Tympanocryptis_macra_NMVD72689.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,macra,NMVD72689
Agamidae_Tympanocryptis_macra_NMVD73895,358,35,4704,5097,Agamidae_Tympanocryptis_macra_NMVD73895.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,macra,NMVD73895
Agamidae_Tympanocryptis_macra_NMVD73903,344,28,4541,4913,Agamidae_Tympanocryptis_macra_NMVD73903.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,macra,NMVD73903
Agamidae_Tympanocryptis_mccartneyi_AMSR.186297,339,31,4601,4971,Agamidae_Tympanocryptis_mccartneyi_AMSR.186297.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,mccartneyi,AMSR.186297
Agamidae_Tympanocryptis_pentalineata_NMVD74074,338,24,2884,3246,Agamidae_Tympanocryptis_pentalineata_NMVD74074.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,pentalineata,NMVD74074
Agamidae_Tympanocryptis_pentalineata_NMVD74075,230,16,572,818,Agamidae_Tympanocryptis_pentalineata_NMVD74075.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,pentalineata,NMVD74075
Agamidae_Tympanocryptis_petersi_NMVD74164,361,35,4747,5143,Agamidae_Tympanocryptis_petersi_NMVD74164.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,petersi,NMVD74164
Agamidae_Tympanocryptis_petersi_NMVD74168,354,30,4115,4499,Agamidae_Tympanocryptis_petersi_NMVD74168.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,petersi,NMVD74168
Agamidae_Tympanocryptis_pinguicolla_NMVZ75954,361,34,4707,5102,Agamidae_Tympanocryptis_pinguicolla_NMVZ75954.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,pinguicolla,NMVZ75954
Agamidae_Tympanocryptis_pseudopsephos_WAMR106201,333,26,2323,2682,Agamidae_Tympanocryptis_pseudopsephos_WAMR106201.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,pseudopsephos,WAMR106201
Agamidae_Tympanocryptis_pseudopsephos_WAMR146827,316,24,3945,4285,Agamidae_Tympanocryptis_pseudopsephos_WAMR146827.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,pseudopsephos,WAMR146827
Agamidae_Tympanocryptis_rustica_NMVD74671,364,33,4743,5140,Agamidae_Tympanocryptis_rustica_NMVD74671.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,rustica,NMVD74671
Agamidae_Tympanocryptis_rustica_SAMAR38823,337,29,4048,4414,Agamidae_Tympanocryptis_rustica_SAMAR38823.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,rustica,SAMAR38823
Agamidae_Tympanocryptis_tetraporophora_ANWC_R6135,359,34,4708,5101,Agamidae_Tympanocryptis_tetraporophora_ANWC_R6135.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,tetraporophora,ANWC
Agamidae_Tympanocryptis_tetraporophora_NMVD74046,357,34,4753,5144,Agamidae_Tympanocryptis_tetraporophora_NMVD74046.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,tetraporophora,NMVD74046
Agamidae_Tympanocryptis_tolleyi_SAMAR26711,364,36,4681,5081,Agamidae_Tympanocryptis_tolleyi_SAMAR26711.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,tolleyi,SAMAR26711
